MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,1/31/2021,169.212,,,187.5902211
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,1/31/2021,211.1076,,,208.2817104
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,1/31/2021,460.7629,,,58.34113946
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,1/31/2021,968.5422,,,193.5465701
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,1/31/2021,306.4503,,,223.4128108
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,1/31/2021,526.8315,,,188.2703279
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,1/31/2021,371.5289,,,40.72314049
49037117E,BARCAD_22_06H_5H,Barricade 22-06H 5H,1/31/2021,247.4099,,,37.40899587
49037118E,BARCAD_23_31_CP,Barricade 23-31 Sales,1/31/2021,813.8312,,,194.2884516
49037119E,BARCAD_23_31H_2H,Barricade 23-31H 2H,1/31/2021,135.7711,193.3068986,60.13792554,33.25356168
49037121E,BARCAD_23_31H_3H,Barricade 23-31H 3H,1/31/2021,739.8566,342.7955721,-6.532670717,196.0321639
49037122E,BARCAD_24_36_CP,Barricade 24-36 CP,1/31/2021,,,,
49037124E,BARCAD_24_36_S1LH_1,Barricade 24-36 S1LH 1,1/31/2021,298.5858,,,54.86025357
49037134E,BARCAD_24_36_S2MH_1,Barricade 24-36 S2MH 1,1/31/2021,713.8893,,,59.35950226
49037133E,BARCAD_32_NE_6D,Barricade 32 NE-6D,1/31/2021,165.0185,,,24.56702785
49037145E,BARCAD_41_6_CP,Barricade 41-6 CP,1/31/2021,1798.062,,,192.7416694
49037128E,BARCAD_41_6_LH_2,Barricade 41-6 LH 2,1/31/2021,862.8578,,,31.04473482
49037132E,BARCAD_41_6_MH_2,Barricade 41-6 MH 2,1/31/2021,742.6222,,,28.96971511
49037143E,BARCAD_41_SW_6D,Barricade 41 SW-6D,1/31/2021,165.8304,,,24.78243991
49037097E,BARCAD_S31_1116_CP,Barricade 1595-S31-11V-16V Check,1/31/2021,1369.657,,,191.6207351
49037150E,BARCAD_UNIT_11_7,Barricade Unit 11-7,1/31/2021,,,,
49037151E,BARCAD_UNIT_14_1_CP,Barricade Unit 14-1 CP,1/31/2021,670.4058,,,217.9557669
49037152E,BARCAD_UNIT_14_1H_1,Barricade Unit 14-1H 1,1/31/2021,626.5239,,,85.25860176
49037153E,BARCAD_UNIT_14_1V,Barricade Unit 14-1V,1/31/2021,114.4631,,,325.3547094
49037110E,BARCAD_UNIT_24_36,Barricade Unit 24-36,1/31/2021,137.6293,,,108.2599435
49037149E,BARCAD_UNIT_44_1S2M,BARRICADE 44-1 SWD BB,1/31/2021,14.97532,,,119.4690064
49037159E,CEPO_FEDERAL_03_19ST,Cepo Federal  03-19ST,1/31/2021,,,,
49037166E,CEPO_FEDERAL_20_17,Cepo Federal  20-17,1/31/2021,1083.342,,,215.8444063
