Date,Site Name,Total Gas Production,Gas Sales
2/5/2021,BARRICADE UNIT 33-12,120,120
2/5/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/5/2021,CEPO FEDERAL 20-17,1079.79,0
2/5/2021,CEPO FEDERAL 23-7,151.31,0
2/5/2021,CEPO FEDERAL 3-19ST,0,0
2/5/2021,ENDURANCE 11-21-1V,109,0
2/5/2021,ENDURANCE 1595 S29-18V,340.73,0
2/5/2021,ENDURANCE 1595 S29-29V,142.99,0
2/5/2021,ENDURANCE 1595 S32-13V,175.97,0
2/5/2021,ENDURANCE 1595 S32-19V,200.33,0
2/5/2021,ENDURANCE 1595 S32-21V,163.46,0
2/5/2021,ENDURANCE 1595 S32-25V,226.23,0
2/5/2021,ENDURANCE 1595 S32-26V,516.93,0
2/5/2021,ENDURANCE 1595-S32-29S NW1 CP,1597.04,1468
2/5/2021,ENDURANCE 21-32,0.27,0
2/5/2021,ENDURANCE 41-29S1 CP,878,0
2/5/2021,ENDURANCE 41-29S1LH,217.85,0
2/5/2021,ENDURANCE 41-29S1MH,147.31,0
2/5/2021,ENDURANCE 41-29S1UH,594.79,0
2/5/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/5/2021,ENDURANCE 42-30-1V,69,0
2/5/2021,ENDURANCE 44-32,194.08,0
2/5/2021,ENDURANCE UNIT 23-5,148.24,0
2/5/2021,ENDURANCE UNIT 42-5,162,162
2/5/2021,ENDURANCE UNIT 44-29,109.93,0
2/5/2021,ENDURANCE/WEST SLOPE 32 CP,144,144
2/5/2021,FTUN 1495 S08-23V,1693.75,0
2/5/2021,FTUN 1495 S08-24V,1104.43,0
2/5/2021,FTUN 1495 S08-SW1 CP,5508.14,0
2/5/2021,FTUN 1495 S17-02V,1407.89,0
2/5/2021,FTUN 1495 S17-03V,1334.88,0
2/5/2021,PM-PB-05V-16V CP,627,627
2/5/2021,POLAR BAR 2,253.68,0
2/5/2021,POWDER MOUNTAIN UNIT 34-26X,30.33,30.33
2/5/2021,WEST SLOPE UNIT 33-32,28.31,0
2/6/2021,BARRICADE 11-7,226,226
2/6/2021,BARRICADE 14-01V,113.67,0
2/6/2021,BARRICADE 1496-S26-05V,124.99,124.99
2/6/2021,BARRICADE 1496-S26-16V,208.99,208.99
2/6/2021,BARRICADE 1595-S31 CP,1368.76,0
2/6/2021,BARRICADE 1595-S31-11V,466.92,0
2/6/2021,BARRICADE 1595-S31-16V,968.81,0
2/6/2021,BARRICADE 21-11N1MH,225.16,0
2/6/2021,BARRICADE 22-06 CP,524.6,0
2/6/2021,BARRICADE 22-06-4H,383,0
2/6/2021,BARRICADE 22-06-5H,235.5,0
2/6/2021,BARRICADE 23-31 CP,858.42,0
2/6/2021,BARRICADE 23-31-2H,157.98,0
2/6/2021,BARRICADE 23-31-3H,757.1,0
2/6/2021,BARRICADE 24-36 CP,1052,0
2/6/2021,BARRICADE 24-36S1LH,302.79,0
2/6/2021,BARRICADE 24-36S2MH,697.62,0
2/6/2021,BARRICADE 32NE-6D,173.41,173.41
2/6/2021,BARRICADE 34-24V,127,0
2/6/2021,BARRICADE 41-01,97,0
2/6/2021,BARRICADE 41-6 5 CP,1720.65,0
2/6/2021,BARRICADE 41-6S1LH,817.82,0
2/6/2021,BARRICADE 41-6S1MH,711.07,0
2/6/2021,BARRICADE 41SW-6D,158.28,0
2/6/2021,BARRICADE 41SW/32NE TB,,
2/6/2021,BARRICADE UNIT 14-01 CP,539.01,0
2/6/2021,BARRICADE UNIT 14-01H,611.02,0
2/6/2021,BARRICADE UNIT 24-36,138.9,0
2/6/2021,BARRICADE UNIT 33-12,119,119
2/6/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/6/2021,CEPO FEDERAL 20-17,1090.95,0
2/6/2021,CEPO FEDERAL 23-7,150.05,0
2/6/2021,CEPO FEDERAL 3-19ST,0,0
2/6/2021,ENDURANCE 11-21-1V,37,0
2/6/2021,ENDURANCE 1595 S29-18V,334.12,0
2/6/2021,ENDURANCE 1595 S29-29V,142.55,0
2/6/2021,ENDURANCE 1595 S32-13V,185.3,0
2/6/2021,ENDURANCE 1595 S32-19V,199.71,0
2/6/2021,ENDURANCE 1595 S32-21V,161.96,0
2/6/2021,ENDURANCE 1595 S32-25V,226,0
2/6/2021,ENDURANCE 1595 S32-26V,580.75,0
2/6/2021,ENDURANCE 1595-S32-29S NW1 CP,1618.37,1488
2/6/2021,ENDURANCE 21-32,27.86,0
2/6/2021,ENDURANCE 41-29S1 CP,878.75,0
2/6/2021,ENDURANCE 41-29S1LH,238.59,0
2/6/2021,ENDURANCE 41-29S1MH,158.91,0
2/6/2021,ENDURANCE 41-29S1UH,594.36,0
2/6/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/6/2021,ENDURANCE 42-30-1V,63,0
2/6/2021,ENDURANCE 44-32,210.34,0
2/6/2021,ENDURANCE UNIT 23-5,143.37,0
2/6/2021,ENDURANCE UNIT 42-5,160,160
2/6/2021,ENDURANCE UNIT 44-29,108.5,0
2/6/2021,ENDURANCE/WEST SLOPE 32 CP,144,144
2/6/2021,FTUN 1495 S08-23V,1699.75,0
2/6/2021,FTUN 1495 S08-24V,1100.96,0
2/6/2021,FTUN 1495 S08-SW1 CP,5607.59,0
2/6/2021,FTUN 1495 S17-02V,1404.42,0
2/6/2021,FTUN 1495 S17-03V,1337.08,0
2/6/2021,PM-PB-05V-16V CP,635,635
2/6/2021,POLAR BAR 2,259.24,0
2/6/2021,POWDER MOUNTAIN UNIT 34-26X,25.15,25.15
2/6/2021,WEST SLOPE UNIT 33-32,28.31,0
2/7/2021,BARRICADE 11-7,214,214
2/7/2021,BARRICADE 14-01V,119.94,0
2/7/2021,BARRICADE 1496-S26-05V,142.5,142.5
2/7/2021,BARRICADE 1496-S26-16V,213.45,213.45
2/7/2021,BARRICADE 1595-S31 CP,1347.38,0
2/7/2021,BARRICADE 1595-S31-11V,467.77,0
2/7/2021,BARRICADE 1595-S31-16V,945.87,0
2/7/2021,BARRICADE 21-11N1MH,249.86,0
2/7/2021,BARRICADE 22-06 CP,525.09,0
2/7/2021,BARRICADE 22-06-4H,383,0
2/7/2021,BARRICADE 22-06-5H,234.02,0
2/7/2021,BARRICADE 23-31 CP,850.36,0
2/7/2021,BARRICADE 23-31-2H,159.02,0
2/7/2021,BARRICADE 23-31-3H,758.28,0
2/7/2021,BARRICADE 24-36 CP,1023,0
2/7/2021,BARRICADE 24-36S1LH,296.65,0
2/7/2021,BARRICADE 24-36S2MH,697.4,0
2/7/2021,BARRICADE 32NE-6D,167.4,167.4
2/7/2021,BARRICADE 34-24V,120,0
2/7/2021,BARRICADE 41-01,102,0
2/7/2021,BARRICADE 41-6 5 CP,1707.92,0
2/7/2021,BARRICADE 41-6S1LH,824.43,0
2/7/2021,BARRICADE 41-6S1MH,715.19,0
2/7/2021,BARRICADE 41SW-6D,127.96,0
2/7/2021,BARRICADE 41SW/32NE TB,,
2/7/2021,BARRICADE UNIT 14-01 CP,578.67,0
2/7/2021,BARRICADE UNIT 14-01H,599.89,0
2/7/2021,BARRICADE UNIT 24-36,141.91,0
2/7/2021,BARRICADE UNIT 33-12,121,121
2/7/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
